GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1631103-1641774-1642358-1642848-1642860-,M. Branham - T. Vukcevic - A. Johnson - T. Johnson - W. Riley,1610612764,WAS,1,0,1,0,6.216667,6,10,0.6,0,3,0,4,5,0.8,2,3,5,4,1,0,0,0,1,3,16,-2,59,47,28,47,24,21,30,43,86,48,86,18,19,50,19,40,30,19,104,68,65,1,81,24,22,125,18650
Lineups,-203114-203468-1641715-1642259-1642267-,K. Middleton - C. McCollum - C. Whitmore - A. Sarr - B. Carrington,1610612764,WAS,3,0,3,0,6.116667,3,6,0.5,3,5,0.6,0,0,0,0,0,0,1,4,1,3,1,4,1,9,-12,13,47,204,47,25,56,60,64,19,27,24,89,97,89,88,142,149,71,203,22,7,163,195,58,55,214,18350
Lineups,-203468-1628963-1630551-1630557-1641715-,C. McCollum - M. Bagley III - J. Champagnie - C. Kispert - C. Whitmore,1610612764,WAS,2,0,2,0,5.916667,6,11,0.545,2,5,0.4,4,4,1,2,2,4,2,1,2,0,1,5,3,18,4,23,47,174,47,26,21,26,58,25,27,53,18,26,1,19,65,40,48,104,15,65,163,205,24,19,14,17750
Lineups,-203468-1630551-1642259-1642267-1642273-,C. McCollum - J. Champagnie - A. Sarr - B. Carrington - K. George,1610612764,WAS,3,0,3,0,5.9,2,10,0.2,1,5,0.2,3,4,0.75,3,4,7,1,4,1,0,0,4,7,8,-6,13,47,204,47,27,78,30,136,42,27,81,24,26,53,14,27,20,71,203,22,65,1,195,8,63,200,17700
Lineups,-1631103-1642259-1642267-1642273-1642860-,M. Branham - A. Sarr - B. Carrington - K. George - W. Riley,1610612764,WAS,1,0,1,0,5.716667,4,7,0.571,1,3,0.333,2,2,1,0,3,3,4,3,0,0,1,1,1,11,-5,59,47,28,47,28,39,55,51,42,48,60,34,40,1,88,40,61,19,189,68,65,163,81,58,43,184,17150
Lineups,-1628963-1630557-1641715-1642267-1642273-,M. Bagley III - C. Kispert - C. Whitmore - B. Carrington - K. George,1610612764,WAS,2,0,2,0,5.711667,5,11,0.455,0,2,0,3,4,0.75,1,2,3,3,3,0,0,1,4,3,13,-1,23,47,174,47,29,31,26,94,86,70,86,24,26,53,39,65,61,30,189,68,65,163,195,24,34,107,17135
Lineups,-203468-1630557-1641715-1641774-1642848-,C. McCollum - C. Kispert - C. Whitmore - T. Vukcevic - T. Johnson,1610612764,WAS,2,0,2,0,5.6,6,10,0.6,0,2,0,3,5,0.6,0,2,2,1,1,0,0,1,5,3,15,-5,23,47,174,47,30,21,30,43,86,70,86,24,19,69,88,65,87,71,104,68,65,163,205,24,28,184,16800
Lineups,-203114-203468-1641715-1641731-1642273-,K. Middleton - C. McCollum - C. Whitmore - B. Coulibaly - K. George,1610612764,WAS,1,0,1,0,5.55,6,14,0.429,1,6,0.167,2,2,1,2,3,5,3,0,3,0,1,1,2,15,3,59,47,28,47,31,21,23,100,42,23,83,34,40,1,19,40,30,30,1,11,65,163,81,34,28,22,16650
Lineups,-1630551-1630557-1641715-1642273-1642848-,J. Champagnie - C. Kispert - C. Whitmore - K. George - T. Johnson,1610612764,WAS,1,0,1,0,5.48,6,15,0.4,4,9,0.444,0,0,0,5,2,7,4,1,0,0,2,0,2,16,2,59,47,28,47,32,21,21,107,13,15,47,89,97,89,11,65,20,19,104,68,65,199,1,34,22,34,16440
Lineups,-203114-203468-1630551-1641731-1642273-,K. Middleton - C. McCollum - J. Champagnie - B. Coulibaly - K. George,1610612764,WAS,2,0,2,0,5.3,5,9,0.556,2,5,0.4,2,2,1,1,3,4,2,2,0,0,1,6,1,14,-10,23,47,174,47,33,31,40,55,25,27,53,34,40,1,39,40,40,48,161,68,65,163,211,58,33,210,15900
